Langue;Mot;Traduction (Singulier / Pluriel);Pluriel NL;Statut;Frequence
nl;de provincie;la province / les provinces;de provincies;Prioritaire;5.2
nl;het publiek;le public / (pas de pluriel);-;Prioritaire;4.99
nl;het punt;le point / les points;de punten;Prioritaire;5.1
nl;de raad;le conseil / les conseils;de raden;Prioritaire;5.06
nl;de radio;la radio / les radios;de radio's;Prioritaire;5.02
nl;de rand;le bord / la marge / les bords;de randen;Prioritaire;4.53
nl;het raam;la fenêtre / les fenêtres;de ramen;Prioritaire;4.5
nl;de reactie;la réaction / les réactions;de reacties;Prioritaire;5.04
nl;het recht;le droit / les droits;de rechten;Prioritaire;5.29
nl;de reclame;la publicité / les publicités;de reclames;Prioritaire;4.49
nl;de reden;la raison / les raisons;de redenen;Prioritaire;5.26
nl;de regel;la règle / les règles;de regels;Prioritaire;4.55
nl;de regering;le gouvernement / les gouvernements;de regeringen;Prioritaire;5.09
nl;de regio;la région / les régions;de regio's;Prioritaire;5.41
nl;de reis;le voyage / les voyages;de reizen;Prioritaire;5.06
nl;de rekening;la facture / le compte / les comptes;de rekeningen;Prioritaire;4.79
nl;de relatie;la relation / les relations;de relaties;Prioritaire;5.05
nl;de rente;l'intérêt (argent) / (pas de pluriel);-;Standard;4.11
nl;het restaurant;le restaurant / les restaurants;de restaurants;Prioritaire;4.69
nl;het resultaat;le résultat / les résultats;de resultaten;Prioritaire;4.88
nl;de richting;la direction (sens) / les directions;de richtingen;Prioritaire;5.08
nl;de ridder;le chevalier / les chevaliers;de ridders;Standard;4.03
nl;de rijkdom;la richesse / les richesses;de rijkdommen;Prioritaire;4.06
nl;de rij;la file / la rangée / les rangées;de rijen;Prioritaire;4.91
nl;de ring;la bague / l'anneau / les anneaux;de ringen;Standard;4.61
nl;het risico;le risque / les risques;de risico's;Prioritaire;4.82
nl;de rit;le trajet (course) / les trajets;de ritten;Standard;4.36
nl;de rivier;la rivière / les rivières;de rivieren;Standard;4.84
nl;de rok;la jupe / les jupes;de rokken;Standard;3.9
nl;de rol;le rôle / les rôles;de rollen;Prioritaire;5.22
nl;de roman;le roman / les romans;de romans;Standard;4.42
nl;de ruzie;la dispute / les disputes;de ruzies / ruziën;Standard;4.58
nl;de rust;le repos / (pas de pluriel);-;Prioritaire;5.05
nl;de ruimte;l'espace / la pièce / les espaces;de ruimten / ruimtes;Prioritaire;5.04
nl;de rug;le dos / les dos;de ruggen;Prioritaire;4.86
nl;de taal;la langue / les langues;de talen;Prioritaire;5.03
nl;de tafel;la table / les tables;de tafels;Prioritaire;4.83
nl;de tand;la dent / les dents;de tanden;Standard;3.95
nl;de tas;le sac / la tasse / les sacs;de tassen;Standard;4.62
nl;tegenstelling;l'opposition / le contraste / les oppositions;de tegenstellingen;Prioritaire;4.49
nl;het tekort;le manque / le déficit / les manques;de tekorten;Prioritaire;4.45
nl;de tekst;le texte / les textes;de teksten;Prioritaire;5.05
nl;de telefoon;le téléphone / les téléphones;de telefoons;Prioritaire;5.14
nl;de televisie;la télévision / les télévisions;de televisies;Prioritaire;4.72
nl;het tempo;le tempo / le rythme / les tempos;de tempo's;Prioritaire;4.31
nl;de tent;la tente / les tentes;de tenten;Standard;4.34
nl;de term;le terme / les termes;de termen;Prioritaire;4.57
nl;het terrein;le terrain / les terrains;de terreinen;Prioritaire;4.61
nl;de terugkeer;le retour / (pas de pluriel);-;Prioritaire;4.43
nl;het thema;le thème / les thèmes;de thema's;Prioritaire;4.64
nl;de thuis;le foyer / le chez-soi / (pas de pluriel);-;Prioritaire;5.48
nl;de tijd;le temps / les temps;de tijden;Prioritaire;5.96
nl;de toekomst;l'avenir / (pas de pluriel);-;Prioritaire;5.21
nl;de toename;l'augmentation / les augmentations;de toenamen / toenames;Prioritaire;4.19
nl;de toegang;l'accès / les accès;de toegangen;Prioritaire;4.91
nl;de toestand;l'état (situation) / les états;de toestanden;Prioritaire;4.43
nl;de toets;la touche / le test / les touches;de toetsen;Standard;4.18
nl;de toeval;le hasard / (pas de pluriel);-;Prioritaire;4.33
nl;de ton;la tonne / le tonneau / les tonnes;de tonnen;Standard;4.68
nl;het toneel;la scène (théâtre) / les scènes;de toneelstukken;Prioritaire;4.08
nl;de top;le sommet / les sommets;de toppen;Prioritaire;5.32
nl;de totaal;le total / les totaux;de totalen;Prioritaire;5.12
nl;de toren;la tour / les tours;de torens;Standard;4.33
nl;de traditie;la tradition / les traditions;de tradities;Prioritaire;4.51
nl;de trein;le train / les trains;de treinen;Prioritaire;4.86
nl;de trap;l'escalier / les escaliers;de trappen;Standard;4.63
nl;de trui;le pull / les pulls;de truien;Standard;4.12
nl;de tuin;le jardin / les jardins;de tuinen;Prioritaire;4.76
nl;tussenkomst;l'intervention / les interventions;de tussenkomsten;Prioritaire;3.59
nl;de twijfel;le doute / les doutes;de twijfels;Prioritaire;4.69
nl;het type;le type / les types;de types;Prioritaire;4.86
nl;de uitdaging;le défi / les défis;de uitdagingen;Prioritaire;4.59
nl;de uitgave;l'édition / la dépense / les éditions;de uitgaven / uitgaves;Prioritaire;4.27
nl;de uitleg;l'explication / (pas de pluriel);-;Prioritaire;4.52
nl;de uitkomst;le résultat / l'issue / les issues;de uitkomsten;Prioritaire;4.09
nl;de uitzondering;l'exception / les exceptions;de uitzonderingen;Prioritaire;4.53
nl;de uitspraak;la prononciation / les prononciations;de uitspraken;Prioritaire;4.7
nl;de uitslag;le résultat (examen/match) / les résultats;de uitslagen;Prioritaire;4.59
nl;het uur;l'heure / les heures;de uren;Prioritaire;5.82
nl;de vader;le père / les pères;de vaders;Prioritaire;5.43
nl;het vak;la branche (matière) / le métier / les vakken;de vakken;Prioritaire;4.48
nl;de vakantie;les vacances / (souvent pluriel);de vakanties;Prioritaire;4.96
nl;het varken;le porc / les porcs;de varkens;Standard;3.78
nl;de vaststelling;la constatation / les constatations;de vaststellingen;Prioritaire;3.35
nl;de vee;le bétail / (pas de pluriel);-;Prioritaire;4.07
nl;het veld;le champ / les champs;de velden;Prioritaire;4.75
nl;het venster;la fenêtre / les fenêtres;de vensters;Standard;3.65
nl;de verandering;le changement / les changements;de veranderingen;Prioritaire;4.66
nl;het verband;le lien / le pansement / les liens;de verbanden;Prioritaire;4.89
nl;de verbetering;l'amélioration / les améliorations;de verbeteringen;Prioritaire;4.38
nl;het verbruik;la consommation / (pas de pluriel);-;Prioritaire;3.66
nl;het verdriet;la tristesse / (pas de pluriel);-;Prioritaire;4.41
nl;de vereniging;l'association / les associations;de verenigingen;Prioritaire;4.82
nl;de vergelijking;la comparaison / les comparaisons;de vergelijkingen;Prioritaire;4.57
nl;het verhaal;l'histoire (récit) / les histoires;de verhalen;Prioritaire;5.4
nl;de verhoging;l'augmentation (hausse) / les augmentations;de verhogingen;Prioritaire;4.09
nl;de verhouding;le rapport (relation) / les rapports;de verhoudingen;Prioritaire;4.29
nl;de verkoop;la vente / les ventes;de verkopen;Prioritaire;4.69
nl;het verkeer;le trafic (circulation) / (pas de pluriel);-;Prioritaire;4.71
nl;de verklaring;la déclaration / les déclarations;de verklaringen;Prioritaire;4.74
nl;het verlies;la perte / les pertes;de verliezen;Prioritaire;4.75
nl;het verlangen;le désir / les désirs;de verlangens;Standard;4.22
nl;het verslag;le rapport (compte-rendu) / les rapports;de verslagen;Prioritaire;4.67
nl;het verstand;l'intelligence / (pas de pluriel);-;Prioritaire;4.43
nl;het vertrouwen;la confiance / (pas de pluriel);-;Prioritaire;5.06
nl;de verwachting;l'attente / les attentes;de verwachtingen;Prioritaire;4.39
nl;de verzorging;le soin / les soins;de verzorgingen;Prioritaire;3.86
nl;de vestiging;la filiale / l'établissement / les filiales;de vestigingen;Prioritaire;4.18
nl;de viering;la célébration / les célébrations;de vieringen;Standard;3.94
nl;de vijand;l'ennemi / les ennemis;de vijanden;Prioritaire;4.41
nl;de vinger;le doigt / les doigts;de vingers;Prioritaire;4.34
nl;de vis;le poisson / les poissons;de vissen;Prioritaire;4.66
nl;de visie;la vision / les visions;de visies;Prioritaire;4.52
nl;het vlak;le plan / la surface / les surfaces;de vlakken;Prioritaire;4.92
nl;de vlag;le drapeau / les drapeaux;de vlaggen;Standard;4.74
nl;de vlam;la flamme / les flammes;de vlammen;Standard;3.92
nl;de vlees;la viande / (pas de pluriel);-;Prioritaire;4.77
nl;de vlieg;la mouche / les mouches;de vliegen;Standard;4.1
nl;de vloer;le sol (plancher) / les sols;de vloeren;Prioritaire;4.42
nl;de vlucht;le vol (avion/fuite) / les vols;de vluchten;Prioritaire;4.81
nl;de voeding;l'alimentation / (pas de pluriel);-;Prioritaire;4.2
nl;de voet;le pied / les pieds;de voeten;Prioritaire;4.74
nl;het voertuig;le véhicule / les véhicules;de voertuigen;Standard;4.33
nl;de vogel;l'oiseau / les oiseaux;de vogels;Prioritaire;4.5
nl;het voorbeeld;l'exemple / les exemples;de voorbeelden;Prioritaire;5.03
nl;de voorraad;le stock / les stocks;de voorraden;Prioritaire;4.28
nl;de voordeel;l'avantage / les avantages;de voordelen;Prioritaire;4.59
nl;het voorstel;la proposition / les propositions;de voorstellen;Prioritaire;4.64
nl;de voorwaarde;la condition / les conditions;de voorwaarden;Prioritaire;4.2
nl;de voorzitter;le président / les présidents;de voorzitters;Prioritaire;4.86
nl;de vorm;la forme / les formes;de vormen;Prioritaire;5.22
nl;de vraag;la question / les questions;de vragen;Prioritaire;5.64
nl;de vrede;la paix / (pas de pluriel);-;Prioritaire;4.76
nl;de vreugde;la joie / (pas de pluriel);-;Prioritaire;4.12
nl;de vriend;l'ami / les amis;de vrienden;Prioritaire;5.12
nl;de vriendschap;l'amitié / les amitiés;de vriendschappen;Prioritaire;4.35
nl;de vrijheid;la liberté / les libertés;de vrijheden;Prioritaire;4.87
nl;de vrouw;la femme / les femmes;de vrouwen;Prioritaire;5.73
nl;de vrucht;le fruit / les fruits;de vruchten;Prioritaire;3.84
nl;de vuist;le poing / les poings;de vuisten;Standard;3.8
nl;het vuur;le feu / les feux;de vuren;Prioritaire;4.81
nl;de waarheid;la vérité / les vérités;de waarheden;Prioritaire;4.96
nl;de waarde;la valeur / les valeurs;de waarden / waardes;Prioritaire;4.86
nl;de wagen;la voiture (charriot) / les voitures;de wagens;Prioritaire;4.47
nl;de wand;la paroi / les parois;de wanden;Standard;3.86
nl;de wang;la joue / les joues;de wangen;Standard;4.21
nl;de wanhoop;le désespoir / (pas de pluriel);-;Standard;3.82
nl;de water;l'eau / (pas de pluriel);-;Prioritaire;5.52
nl;de week;la semaine / les semaines;de weken;Prioritaire;5.58
nl;de weer;le temps (météo) / (pas de pluriel);-;Prioritaire;6.04
nl;de weg;le chemin (la route) / les chemins;de wegen;Prioritaire;5.8
nl;de weide;la prairie / les prairies;de weiden / weides;Standard;3.56
nl;de wereld;le monde / les mondes;de werelden;Prioritaire;5.63
nl;de werkgever;l'employeur / les employeurs;de werkgevers;Prioritaire;4.33
nl;de werknemer;l'employé / les employés;de werknemers;Prioritaire;4.17
nl;het werk;le travail / les travaux;de werken;Prioritaire;5.77
nl;de werkelijkheid;la réalité / (pas de pluriel);-;Prioritaire;4.55
nl;de wet;la loi / les lois;de wetten;Prioritaire;5.15
nl;de wetenschap;la science / les sciences;de wetenschappen;Prioritaire;4.62
nl;de wezen;l'être / l'orphelin / les êtres;de wezens;Standard;4.51
nl;de wijk;le quartier / les quartiers;de wijken;Prioritaire;4.89
nl;de wijn;le vin / les vins;de wijnen;Standard;4.73
nl;de wijs;la manière / l'air (musique) / les airs;de wijzen;Standard;4.16
nl;de wil;la volonté / (pas de pluriel);-;Prioritaire;6.17
nl;de wind;le vent / les vents;de winden;Prioritaire;4.78
nl;de winkel;le magasin / les magasins;de winkels;Prioritaire;4.89
nl;de winst;le bénéfice / les bénéfices;de winsten;Prioritaire;4.63
nl;de wolk;le nuage / les nuages;de wolken;Prioritaire;3.78
nl;het woord;le mot / les mots;de woorden;Prioritaire;5.22
nl;de woonplaats;le domicile / les domiciles;de woonplaatsen;Standard;4.34
nl;de zaak;l'affaire (commerce) / les affaires;de zaken;Prioritaire;5.26
nl;de zak;le sac / la poche / les sacs;de zakken;Prioritaire;4.6
nl;de zand;le sable / (pas de pluriel);-;Prioritaire;4.45
nl;de zee;la mer / les mers;de zeeën;Prioritaire;5.08
nl;de zekerheid;la certitude / les certitudes;de zekerheden;Prioritaire;4.4
nl;de zender;l'émetteur (chaîne) / les émetteurs;de zenders;Standard;4.38
nl;de zenuw;le nerf / les nerfs;de zenuwen;Standard;3.22
nl;de zes;le six / les six;de zessen;Standard;5.23
nl;de zetel;le siège (fauteuil) / les sièges;de zetels;Prioritaire;4.12
nl;de ziel;l'âme / les âmes;de zielen;Standard;4.48
nl;de zijde;le côté / la soie / les côtés;de zijden;Prioritaire;4.44
nl;de zin;la phrase / le sens / les phrases;de zinnen;Prioritaire;5.17
nl;de zitting;la séance / les séances;de zittingen;Standard;4.16
nl;de zoektocht;la recherche / les recherches;de zoektochten;Standard;4.42
nl;de zomer;l'été / les étés;de zomers;Prioritaire;5.0
nl;de zon;le soleil / les soleils;de zonnen;Prioritaire;4.93
nl;de zoon;le fils / les fils;de zonen;Prioritaire;5.37
nl;de zorg;le soin / le souci / les soucis;de zorgen;Prioritaire;5.36
nl;de zuster;la sœur (infirmière) / les sœurs;de zusters;Standard;4.21
nl;de zuurstof;l'oxygène / (pas de pluriel);-;Standard;4.12
nl;de zwaarte;la pesanteur / la lourdeur / (pas de pluriel);-;Standard;2.76
nl;de zwager;le beau-frère / les beaux-frères;de zwagers;Standard;3.65
nl;de zwart;le noir / (pas de pluriel);-;Standard;5.0
nl;de zweep;le fouet / les fouets;de zwepen;Standard;3.28
