Langue;Mot;Traduction (Singulier / Pluriel);Pluriel NL;Statut
nl;de toegang;l'accès / les accès;de toegangen;Prioritaire
nl;de toestand;l'état (situation) / les états;de toestanden;Prioritaire
nl;de toets;la touche / le test / les touches;de toetsen;Standard
nl;de toeval;le hasard / (pas de pluriel);-;Prioritaire
nl;de ton;la tonne / le tonneau / les tonnes;de tonnen;Standard
nl;het toneel;la scène (théâtre) / les scènes;de toneelstukken;Prioritaire
nl;de top;le sommet / les sommets;de toppen;Prioritaire
nl;de totaal;le total / les totaux;de totalen;Prioritaire
nl;de toren;la tour / les tours;de torens;Standard
nl;de traditie;la tradition / les traditions;de tradities;Prioritaire
nl;de trein;le train / les trains;de treinen;Prioritaire
nl;de trap;l'escalier / les escaliers;de trappen;Standard
nl;de trui;le pull / les pulls;de truien;Standard
nl;de tuin;le jardin / les jardins;de tuinen;Prioritaire
nl;tussenkomst;l'intervention / les interventions;de tussenkomsten;Prioritaire
nl;de twijfel;le doute / les doutes;de twijfels;Prioritaire
nl;het type;le type / les types;de types;Prioritaire
nl;de uitdaging;le défi / les défis;de uitdagingen;Prioritaire
nl;de uitgave;l'édition / la dépense / les éditions;de uitgaven / uitgaves;Prioritaire
nl;de uitleg;l'explication / (pas de pluriel);-;Prioritaire
nl;de uitkomst;le résultat / l'issue / les issues;de uitkomsten;Prioritaire
nl;de uitzondering;l'exception / les exceptions;de uitzonderingen;Prioritaire
nl;de uitspraak;la prononciation / les prononciations;de uitspraken;Prioritaire
nl;de uitslag;le résultat (examen/match) / les résultats;de uitslagen;Prioritaire
nl;het uur;l'heure / les heures;de uren;Prioritaire
nl;de vader;le père / les pères;de vaders;Prioritaire
nl;het vak;la branche (matière) / le métier / les vakken;de vakken;Prioritaire
nl;de vakantie;les vacances / (souvent pluriel);de vakanties;Prioritaire
nl;het varken;le porc / les porcs;de varkens;Standard
nl;de vaststelling;la constatation / les constatations;de vaststellingen;Prioritaire
nl;de vee;le bétail / (pas de pluriel);-;Prioritaire
nl;het veld;le champ / les champs;de velden;Prioritaire
nl;het venster;la fenêtre / les fenêtres;de vensters;Standard
nl;de verandering;le changement / les changements;de veranderingen;Prioritaire
nl;het verband;le lien / le pansement / les liens;de verbanden;Prioritaire
nl;de verbetering;l'amélioration / les améliorations;de verbeteringen;Prioritaire
nl;het verbruik;la consommation / (pas de pluriel);-;Prioritaire
nl;het verdriet;la tristesse / (pas de pluriel);-;Prioritaire
nl;de vereniging;l'association / les associations;de verenigingen;Prioritaire
nl;de vergelijking;la comparaison / les comparaisons;de vergelijkingen;Prioritaire
nl;het verhaal;l'histoire (récit) / les histoires;de verhalen;Prioritaire
nl;de verhoging;l'augmentation (hausse) / les augmentations;de verhogingen;Prioritaire
nl;de verhouding;le rapport (relation) / les rapports;de verhoudingen;Prioritaire
nl;de verkoop;la vente / les ventes;de verkopen;Prioritaire
nl;het verkeer;le trafic (circulation) / (pas de pluriel);-;Prioritaire
nl;de verklaring;la déclaration / les déclarations;de verklaringen;Prioritaire
nl;het verlies;la perte / les pertes;de verliezen;Prioritaire
nl;het verlangen;le désir / les désirs;de verlangens;Standard
nl;het verslag;le rapport (compte-rendu) / les rapports;de verslagen;Prioritaire
nl;het verstand;l'intelligence / (pas de pluriel);-;Prioritaire
nl;het vertrouwen;la confiance / (pas de pluriel);-;Prioritaire
nl;de verwachting;l'attente / les attentes;de verwachtingen;Prioritaire
nl;de verzorging;le soin / les soins;de verzorgingen;Prioritaire
nl;de vestiging;la filiale / l'établissement / les filiales;de vestigingen;Prioritaire
nl;de viering;la célébration / les célébrations;de vieringen;Standard
nl;de vijand;l'ennemi / les ennemis;de vijanden;Prioritaire
nl;de vinger;le doigt / les doigts;de vingers;Prioritaire
nl;de vis;le poisson / les poissons;de vissen;Prioritaire
nl;de visie;la vision / les visions;de visies;Prioritaire
nl;het vlak;le plan / la surface / les surfaces;de vlakken;Prioritaire
nl;de vlag;le drapeau / les drapeaux;de vlaggen;Standard
nl;de vlam;la flamme / les flammes;de vlammen;Standard
nl;de vlees;la viande / (pas de pluriel);-;Prioritaire
nl;de vlieg;la mouche / les mouches;de vliegen;Standard
nl;de vloer;le sol (plancher) / les sols;de vloeren;Prioritaire
nl;de vlucht;le vol (avion/fuite) / les vols;de vluchten;Prioritaire
nl;de voeding;l'alimentation / (pas de pluriel);-;Prioritaire
nl;de voet;le pied / les pieds;de voeten;Prioritaire
nl;het voertuig;le véhicule / les véhicules;de voertuigen;Standard
nl;de vogel;l'oiseau / les oiseaux;de vogels;Prioritaire
nl;het voorbeeld;l'exemple / les exemples;de voorbeelden;Prioritaire
nl;de voorraad;le stock / les stocks;de voorraden;Prioritaire
nl;de voordeel;l'avantage / les avantages;de voordelen;Prioritaire
nl;het voorstel;la proposition / les propositions;de voorstellen;Prioritaire
nl;de voorwaarde;la condition / les conditions;de voorwaarden;Prioritaire
nl;de voorzitter;le président / les présidents;de voorzitters;Prioritaire
nl;de vorm;la forme / les formes;de vormen;Prioritaire
nl;de vraag;la question / les questions;de vragen;Prioritaire
nl;de vrede;la paix / (pas de pluriel);-;Prioritaire
nl;de vreugde;la joie / (pas de pluriel);-;Prioritaire
nl;de vriend;l'ami / les amis;de vrienden;Prioritaire
nl;de vriendschap;l'amitié / les amitiés;de vriendschappen;Prioritaire
nl;de vrijheid;la liberté / les libertés;de vrijheden;Prioritaire
nl;de vrouw;la femme / les femmes;de vrouwen;Prioritaire
nl;de vrucht;le fruit / les fruits;de vruchten;Prioritaire
nl;de vuist;le poing / les poings;de vuisten;Standard
nl;het vuur;le feu / les feux;de vuren;Prioritaire
nl;de waarheid;la vérité / les vérités;de waarheden;Prioritaire
nl;de waarde;la valeur / les valeurs;de waarden / waardes;Prioritaire
nl;de wagen;la voiture (charriot) / les voitures;de wagens;Prioritaire
nl;de wand;la paroi / les parois;de wanden;Standard
nl;de wang;la joue / les joues;de wangen;Standard
nl;de wanhoop;le désespoir / (pas de pluriel);-;Standard
nl;de water;l'eau / (pas de pluriel);-;Prioritaire
nl;de week;la semaine / les semaines;de weken;Prioritaire
nl;de weer;le temps (météo) / (pas de pluriel);-;Prioritaire
nl;de weg;le chemin (la route) / les chemins;de wegen;Prioritaire
nl;de weide;la prairie / les prairies;de weiden / weides;Standard
nl;de wereld;le monde / les mondes;de werelden;Prioritaire
nl;de werkgever;l'employeur / les employeurs;de werkgevers;Prioritaire
nl;de werknemer;l'employé / les employés;de werknemers;Prioritaire
nl;het werk;le travail / les travaux;de werken;Prioritaire
nl;de werkelijkheid;la réalité / (pas de pluriel);-;Prioritaire
nl;de wet;la loi / les lois;de wetten;Prioritaire
nl;de wetenschap;la science / les sciences;de wetenschappen;Prioritaire
nl;de wezen;l'être / l'orphelin / les êtres;de wezens;Standard
nl;de wijk;le quartier / les quartiers;de wijken;Prioritaire
nl;de wijn;le vin / les vins;de wijnen;Standard
nl;de wijs;la manière / l'air (musique) / les airs;de wijzen;Standard
nl;de wil;la volonté / (pas de pluriel);-;Prioritaire
nl;de wind;le vent / les vents;de winden;Prioritaire
nl;de winkel;le magasin / les magasins;de winkels;Prioritaire
nl;de winst;le bénéfice / les bénéfices;de winsten;Prioritaire
nl;de wolk;le nuage / les nuages;de wolken;Prioritaire
nl;het woord;le mot / les mots;de woorden;Prioritaire
nl;de woonplaats;le domicile / les domiciles;de woonplaatsen;Standard
nl;de zaak;l'affaire (commerce) / les affaires;de zaken;Prioritaire
nl;de zak;le sac / la poche / les sacs;de zakken;Prioritaire
nl;de zand;le sable / (pas de pluriel);-;Prioritaire
nl;de zee;la mer / les mers;de zeeën;Prioritaire
nl;de zekerheid;la certitude / les certitudes;de zekerheden;Prioritaire
nl;de zender;l'émetteur (chaîne) / les émetteurs;de zenders;Standard
nl;de zenuw;le nerf / les nerfs;de zenuwen;Standard
nl;de zes;le six / les six;de zessen;Standard
nl;de zetel;le siège (fauteuil) / les sièges;de zetels;Prioritaire
nl;de ziel;l'âme / les âmes;de zielen;Standard
nl;de zijde;le côté / la soie / les côtés;de zijden;Prioritaire
nl;de zin;la phrase / le sens / les phrases;de zinnen;Prioritaire
nl;de zitting;la séance / les séances;de zittingen;Standard
nl;de zoektocht;la recherche / les recherches;de zoektochten;Standard
nl;de zomer;l'été / les étés;de zomers;Prioritaire
nl;de zon;le soleil / les soleils;de zonnen;Prioritaire
nl;de zoon;le fils / les fils;de zonen;Prioritaire
nl;de zorg;le soin / le souci / les soucis;de zorgen;Prioritaire
nl;de zuster;la sœur (infirmière) / les sœurs;de zusters;Standard
nl;de zuurstof;l'oxygène / (pas de pluriel);-;Standard
nl;de zwaarte;la pesanteur / la lourdeur / (pas de pluriel);-;Standard
nl;de zwager;le beau-frère / les beaux-frères;de zwagers;Standard
nl;de zwart;le noir / (pas de pluriel);-;Standard
nl;de zweep;le fouet / les fouets;de zwepen;Standard
